"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Paraspirulinaceae",0,0,NA,0,0,1,0.754
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__pItb.vmat.80.f__",0,0,NA,0,0,1,0.724
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__uncultured",0,0,NA,0,0,1,0.12
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Pedosphaerales.f__Pedosphaeraceae",0,0,NA,0,0,1,0.414
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.__",0,0,NA,0,0,1,0.534
"d__Bacteria.k__.p__Chloroflexi.c__Dehalococcoidia.o__MSBL5.f__",0,0,NA,0,0,1,0.12
"d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Iamiaceae",0,0,NA,0,0,1,0.335
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidetes_BD2.2",0,0,NA,0,0,1,0.124
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Marinobacteraceae",0,0,NA,0,0,1,0.416
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae",0,0,NA,0,0,1,0.633
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Entomoplasmatales.f__Spiroplasmataceae",0,0,NA,0,0,1,0.417
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Coxiellales.f__Coxiellaceae",0,0,NA,0,0,1,0.741
