,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Latescibacterota.c__.o__.f__.g__,0.000445482,0.000389715,1.143095213,4.2,0,0.955375783,0.001
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1,0.000436996,0.000467698,0.934354874,1.6,3.8,0.955855763,0.442
d__Bacteria.k__.p__Planctomycetota.c__vadinHA49.o__.f__.g__,0.000428511,0.000632323,0.677676855,1.2,3.4,0.956326424,0.02
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Persicobacter,0.000428511,0.000478753,0.89505623,1.2,3.8,0.956797085,0.98
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Geitlerinemaceae.g__Geitlerinema_PCC.7105,0.000424268,0.000812988,0.521862458,4,0,0.957263085,0.487
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae.g__Arenicella,0.000424268,0.00067985,0.624061161,3.8,0.6,0.957729086,0.003
d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__CCM11a.f__.g__,0.000424268,0.000488945,0.867721831,4,0,0.958195086,0.001
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.__,0.000420025,0.000480707,0.873765648,0.2,4,0.958656427,0.136
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__uncultured,0.000403055,0.000186248,2.16408023,4,0.2,0.959099128,0.281
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__Ardenticatenaceae.g__uncultured,0.000394569,0.000386721,1.02029555,3,2.8,0.959532508,0.26
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Cryomorphaceae.g__Vicingus,0.000390327,0.000301126,1.296224715,3.8,0.2,0.959961229,0.001
d__Bacteria.k__.p__Patescibacteria.c__Gracilibacteria.o__.f__.g__,0.000386084,0.000371083,1.04042475,1,4,0.960385289,0.736
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicimonas,0.000381841,0.000366149,1.042857827,3.6,0,0.96080469,0.366
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.__,0.000381841,0.000207668,1.838714106,3.6,4.8,0.96122409,0.189
d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__PeM15.f__.g__,0.000360628,0.000425372,0.847795068,0,3.4,0.961620191,0.139
d__Bacteria.k__.p__Desulfobacterota.c__uncultured.o__.f__.g__,0.000360628,0.000408507,0.882794338,3.4,0,0.962016291,0.001
d__Bacteria.k__.p__Fibrobacterota.c__Fibrobacteria.o__Fibrobacterales.f__Fibrobacteraceae.g__uncultured,0.000360628,0.000295278,1.221316054,3.4,0,0.962412392,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__OM60.NOR5._clade,0.000356385,0.000242799,1.467822815,2.8,4.8,0.962803832,0.012
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__Luminiphilus,0.000356385,0.000296672,1.201277547,1,3.8,0.963195273,0.006
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Ilumatobacter,0.000352143,0.000200127,1.759596481,3.6,1.8,0.963582053,0.246
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ruegeria,0.000352143,0.000262895,1.339479414,2.8,3.8,0.963968834,0.805
d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.__,0.000339415,0.000692827,0.489897949,3.2,0,0.964341634,0.22
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Roseibacillus,0.000339415,0.000328351,1.033693252,3.4,0.2,0.964714435,0.25
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Actibacterium,0.000339415,0.000316725,1.071639499,3.2,0,0.965087235,0.882
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__Sandaracinus,0.000339415,0.000209913,1.616931688,3.2,0,0.965460036,0.001
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Thermosynechococcales.f__Acaryochloridaceae.g__Acaryochloris_MBIC11017,0.000339415,0.00026868,1.263267254,3.2,0,0.965832836,0.139
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Microbulbiferaceae.g__Microbulbifer,0.000335172,0.000325022,1.031227026,2.2,2,0.966200977,0.207
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade.g__,0.000330929,0.000417945,0.791799967,3.2,0.4,0.966564457,0.153
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Zeaxanthinibacter,0.000326686,0.000378636,0.862798129,3.2,0.2,0.966923278,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Parvularculaceae.g__uncultured,0.000318201,0.000547728,0.580947502,3,0,0.967272778,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Formosa,0.000318201,0.000321134,0.990867389,3,0,0.967622279,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.__,0.000318201,0.000335413,0.948683298,0,3,0.967971779,0.548
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Winogradskyella,0.000313958,0.000349753,0.897656872,2,2,0.968316619,0.14
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Erythrobacter,0.00030123,0.000357966,0.841504568,2.8,1,0.96864748,0.754
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Nannocystales.f__Nannocystaceae.g__uncultured,0.000296988,0.000371235,0.8,2.8,0,0.96897368,0.001
d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Thermomicrobiales.f__AKYG1722.g__,0.000296988,0.000377495,0.786732082,2.8,0,0.969299881,0.033
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia,0.000296988,0.00046132,0.643777399,0,2.8,0.969626081,0.163
d__Bacteria.k__.p__Dadabacteria.c__Dadabacteriia.o__Dadabacteriales.f__.g__,0.000288502,0.000297681,0.969164886,2.8,0.4,0.969942962,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Alteromonas,0.00028426,0.000434875,0.653658537,2.4,0.6,0.970255182,0.049
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__MBAE14.f__.g__,0.000275774,0.000457238,0.603130845,2.6,0,0.970558082,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Pelagibius,0.000275774,0.000510519,0.540183822,2.6,0,0.970860983,0.025
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Terasakiellaceae.g__uncultured,0.000254561,0.00051962,0.489897949,2.4,0,0.971140583,0.593
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__.g__,0.000254561,0.000146843,1.733556284,2.4,0,0.971420183,0.006
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__.g__Guggenheimella,0.000254561,0.00051962,0.489897949,2.4,0,0.971699784,0.001
