,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae,0.000254561,0.000325484,0.782100643,2.4,0,0.983685266,0.135
d__Bacteria.k__.p__Planctomycetota.c__Pla4_lineage.o__.f__,0.000254561,0.000414205,0.614577024,2.4,0,0.983970489,0.001
d__Bacteria.k__.p__Planctomycetota.c__BD7.11.o__.f__,0.000233347,0.000285594,0.817059488,2.2,0,0.984231943,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__SM2D12,0.000233347,0.000241094,0.967870959,2.2,0,0.984493397,0.277
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae,0.000224862,0.000210626,1.067589063,2.2,0.8,0.984745344,0.899
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Granulosicoccales.f__Granulosicoccaceae,0.000212134,0.000205398,1.032795559,2,0,0.984983029,0.664
d__Bacteria.k__.p__Nitrospinota.c__Nitrospinia.o__Nitrospinales.f__Nitrospinaceae,0.000212134,0.000273864,0.774596669,2,0,0.985220715,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Pseudohongiellaceae,0.000212134,0.000282292,0.751469149,2,0,0.9854584,0.001
d__Bacteria.k__.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Criblamydiaceae,0.000212134,0.000227076,0.934198733,2,0,0.985696086,0.001
d__Bacteria.k__.p__Cyanobacteria.c__Vampirivibrionia.o__Obscuribacterales.f__Obscuribacteraceae,0.000212134,0.000273864,0.774596669,2,0,0.985933771,0.139
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__WN.HWB.116.f__,0.000190921,0.000389715,0.489897949,1.8,0,0.986147688,0.001
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__A4b,0.000190921,0.000241094,0.791894421,1.8,0,0.986361605,0.12
d__Bacteria.k__.p__Firmicutes.__.__.__,0.000190921,0.000198433,0.962140471,1.8,0,0.986575522,0.969
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Ga0077536.f__,0.000190921,0.000209913,0.909524075,1.8,0,0.986789439,0.001
d__Bacteria.k__.p__Dependentiae.c__Babeliae.o__Babeliales.f__Vermiphilaceae,0.000190921,0.000338197,0.564525043,1.8,0,0.987003356,0.015
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Devosiaceae,0.000186678,0.000186951,0.998539706,0.2,1.8,0.987212519,0.402
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__uncultured,0.000169707,0.000222909,0.761329522,1.6,0,0.987402668,0.999
d__Bacteria.k__.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae,0.000169707,0.000175892,0.964836303,1.6,0,0.987592816,0.947
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Rickettsiaceae,0.000169707,0.000175892,0.964836303,1.6,0,0.987782965,0.665
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae,0.000169707,0.00016202,1.047445873,1.6,0,0.987973113,0.011
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Micavibrionales.f__Micavibrionaceae,0.000169707,0.000222909,0.761329522,1.6,0,0.988163261,0.268
d__Bacteria.k__.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__Melioribacteraceae,0.000169707,0.000212134,0.8,1.6,0,0.98835341,0.001
d__Bacteria.k__.p__Patescibacteria.c__Dojkabacteria.o__.f__,0.000169707,0.000175892,0.964836303,1.6,0,0.988543558,0.134
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__BIrii41,0.000169707,0.000222909,0.761329522,1.6,0,0.988733707,0.006
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae,0.000161222,0.000289053,0.557759045,0.2,1.4,0.988914348,0.406
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.__,0.000152737,0.000198622,0.768980363,1.4,0.2,0.989085481,0.999
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Flammeovirgaceae,0.000148494,0.000129905,1.143095213,0,1.4,0.989251861,0.904
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Micavibrionales.f__uncultured,0.000148494,0.000146843,1.011241166,1.4,0,0.989418241,0.002
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__SZB50.f__,0.000148494,0.00016202,0.916515139,1.4,0,0.989584621,0.001
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Paenibacillales.f__Paenibacillaceae,0.000148494,0.000303112,0.489897949,0,1.4,0.989751001,0.162
d__Bacteria.k__.p__Acidobacteriota.c__Acidobacteriae.o__PAUC26f.f__,0.000148494,0.000188748,0.786732082,1.4,0,0.989917381,0.001
d__Bacteria.k__.p__Bacteroidota.c__Kapabacteria.o__Kapabacteriales.f__,0.000148494,0.00016202,0.916515139,1.4,0,0.99008376,0.001
