"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Epulopiscium",8.48536274925753e-05,0.000106067034365719,0.8,0,0.8,0.987934251630082,0.019
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.__.__.__",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.988143908421913,0.997
"d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__uncultured",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.988353565213745,0.747
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Moritellaceae.g__Paramoritella",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.988563222005577,0.253
"d__Bacteria.k__.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.988772878797409,0.018
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Moritellaceae.g__uncultured",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.988982535589241,0.008
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Amoebophilaceae.g__uncultured",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.989192192381072,0.017
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Dinoroseobacter",8.48536274925753e-05,0.000126245022425096,0.672134440333445,0,0.8,0.989401849172904,0.317
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Cryomorphaceae.g__Phaeocystidibacter",8.06109461179465e-05,7.6730782117843e-05,1.05056854489173,0.8,0.2,0.989601023125144,0.408
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Microbulbiferaceae.g__Microbulbifer",8.06109461179465e-05,7.6730782117843e-05,1.05056854489173,0.8,0.2,0.989800197077384,0.609
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__uncultured.f__.g__",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.989957439671258,0.385
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Gemmatales.f__Gemmataceae.g__uncultured",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.990114682265132,0.588
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.990271924859006,0.925
"d__Bacteria.k__.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Propionigenium",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.99042916745288,0.182
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Thalassobaculales.f__uncultured.g__",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.990586410046753,0.562
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__AB1.g__",6.36402206194315e-05,5.30335171828596e-05,1.2,0,0.6,0.990743652640627,0.236
"d__Bacteria.k__.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Simkaniaceae.g__uncultured",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.990900895234501,0.029
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__EV818SWSAP88.f__.g__",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.991058137828375,0.001
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0.6,0,0.991215380422249,0.552
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae.g__Fuerstia",6.36402206194315e-05,5.30335171828596e-05,1.2,0,0.6,0.991372623016123,0.143
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__Parahaliea",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.991529865609996,0.459
"d__Bacteria.k__.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Sva0081_sediment_group",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.99168710820387,0.048
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Reinekea",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0.6,0,0.991844350797744,0.003
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Crocinitomicaceae.__",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.992001593391618,0.171
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Eurycoccales.f__Eurycoccales_Incertae_Sedis.g__Synechococcus_PCC.7336",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.992158835985492,0.001
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae.g__Rubinisphaera",6.36402206194315e-05,0.00012990505636313,0.489897948556636,0,0.6,0.992316078579366,0.188
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Fodinicurvataceae.g__Fodinicurvata",6.36402206194315e-05,8.66033709087533e-05,0.734846922834953,0,0.6,0.992473321173239,0.159
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__OM60.NOR5._clade",5.51548578701739e-05,8.17014567125678e-05,0.675078022956348,0.2,0.4,0.99260959808793,0.783
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Nitratireductor",5.51548578701739e-05,8.17014567125678e-05,0.675078022956348,0.4,0.2,0.992745875002621,0.659
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.__",4.66694951209164e-05,5.37359784810163e-05,0.868496237346895,0.2,0.4,0.992861186238128,0.611
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella",4.24268137462877e-05,5.30335171828596e-05,0.8,0,0.4,0.992966014634044,0.24
"d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Caldilineales.f__Caldilineaceae.g__uncultured",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0.4,0,0.99307084302996,0.98
"d__Bacteria.k__.p__Planctomycetota.c__OM190.o__.f__.g__",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0,0.4,0.993175671425876,0.801
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__uncultured",4.24268137462877e-05,5.30335171828596e-05,0.8,0,0.4,0.993280499821792,0.882
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Cryomorphaceae.g__uncultured",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0,0.4,0.993385328217708,0.383
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__uncultured",4.24268137462877e-05,5.30335171828596e-05,0.8,0,0.4,0.993490156613623,0.997
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Persicirhabdus",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0,0.4,0.993594985009539,0.846
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0.4,0,0.993699813405455,0.456
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Oceanirhabdus",4.24268137462877e-05,8.66033709087533e-05,0.489897948556636,0,0.4,0.993804641801371,0.225
