OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio	Saccostrea.mordax	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
e6ebcec876443126773d86af18cdb6eb	635	1	5	0	0	0	0	0	0	0	0	0	0
b04850cd94190dcce7fbfc9925aa46e8	0	4	0	0	165	0	0	0	0	0	0	0	0
1f3f24e928242fea59f1c02d97748438	2	0	1	0	0	0	0	0	1	0	0	0	0
fd91778073452fe9c5f5c7dc3c599e64	0	18	152	0	0	13	0	0	0	0	0	29	0
a565326e2b32d3ac032ea91431b6e945	2	0	0	0	3	0	0	0	0	0	0	0	0
a9cb2bde07d2f721c0072649cfb2db38	0	21	0	0	0	0	0	0	0	0	0	0	0
192dc73a10edc6dc3946468c52315b08	0	4	0	0	0	0	0	0	0	0	0	0	0
717b770c1183ca7318d57165ccf32645	4	0	0	0	0	0	0	0	0	0	0	0	0
7375c21812ac6d907c750b44666f10f6	5	0	0	0	0	0	0	0	0	2	0	0	0
3d716f8f53240b9ed705e1f14242a881	0	0	0	0	0	0	0	0	0	2	0	0	36
ea1287c28697bc8917b262b63b1b4c40	0	0	0	0	0	0	0	0	0	0	0	164	0
2a28d7a36c1c448c65e2a7b6758bcceb	0	12	0	0	0	0	0	0	0	0	0	0	0
0ed8948b21567f57e333604b14842063	1	0	0	0	0	2	0	0	1	0	0	0	0
0cb668ef633c68d6e02d76a73c34dcee	1	0	0	0	0	0	0	2	0	0	0	0	0
8629bd87311d83c0b87adcf602f7a01f	0	0	0	20	0	0	0	0	0	0	0	0	0
55341fb243344f3fa2eeceaf2130f83d	5	20	15	3	0	6	0	0	2	2	0	25	13
d72651e43c80bea344e75538796c3057	0	0	0	0	0	0	0	0	0	0	0	0	9
1527d45d0794f0f0a120f577d20828f5	0	2	0	0	0	0	0	0	0	0	0	5	0
22872c796c9f1f3c295c6642c325a5a4	0	20	249	0	0	30	0	0	0	0	0	0	0
97f1fada21b85c6381079c808168e038	0	0	0	0	0	9	0	0	0	0	0	5	0
43ff5b36d53416532f9b147e4cee6a22	0	0	0	0	0	0	0	0	0	0	12	0	267
773197a3fd6c109e9cb929df5519c108	4	0	0	0	0	0	0	0	0	0	0	0	0
4bd7fae3accefce0e41baf26c3b3b48b	4	0	0	0	0	0	0	0	0	0	0	0	0
e71af592664fa9e08b942d76d8999552	18	0	0	0	0	0	0	0	0	0	0	0	0
02c7fff2fff3df94068e519eefe8b4e9	7	0	0	0	0	0	0	0	0	0	0	0	0
125d629154a82f3e015a0c3324a2b90b	0	0	0	0	0	0	0	0	18	0	0	0	0
c3ebbc38aa8688cc15b6904ab2119ef5	0	0	0	0	0	0	0	0	0	4	0	0	0
b757ef52c06b798853d33593b3a0387a	0	0	0	0	0	0	538	0	0	0	0	0	0
7065b99c7bd4aff3f3e7776f1d713ba8	67	0	0	0	0	0	0	0	0	0	0	0	0
5d9a27db73a97ec80968e6ff865c2627	0	0	0	0	0	0	0	6	0	0	0	0	0
1735612bafc1c4e05285e3f187864082	2	0	0	0	0	0	0	5	0	0	0	0	0
b22a80d724069751905187da588361ed	0	0	0	0	0	0	0	2	1	0	0	0	0
50efd0cfb0ac6178aeb86fec484a3583	4	0	0	0	0	0	0	0	0	0	0	0	0
63398c2f68d511053a4fcc89c4d73f21	6	0	0	0	0	0	0	0	0	0	0	0	0
9468c556f857bbb8e5fbc446ed96bea8	3	0	0	0	0	0	0	0	0	0	0	0	0
6b38a7ff65ea3cc6f46c6ee9f96e2511	0	12	0	0	0	0	0	0	0	0	0	0	0
f37c351ecddcdedd2a86517992e808f6	0	0	0	0	0	0	0	0	0	0	0	288	0
c5080e5d10f18820d1bc37b32403e4b0	1	11	0	0	0	0	0	0	0	0	0	4	0
ad82b685f5000835c66d604c96732f71	0	0	0	0	0	9	0	0	0	0	0	0	0
bbf60bb42e58daaeb8c44e0c77480389	0	0	0	0	0	2	0	0	0	0	0	10	4
0883669f6a8885ead35e9b4885197853	0	0	0	0	8	0	0	0	0	0	0	0	0
83fc309df4f10beb16d902bd4e09fba4	0	0	0	0	0	71	2	0	0	0	0	0	0
96cb74ffabe98722341d52b67f79d2f3	32	0	4	0	0	0	0	0	0	0	0	0	0
99031f9b64090dc2e25677b35633d2c5	0	0	0	0	105	0	0	0	0	0	0	0	0
376d15bbcae6e35406c0701a768bc9e0	0	27	0	0	0	0	0	0	0	0	0	25	0
af4815a86031a16d8fd222852b34af57	0	0	0	0	0	0	1	0	28	0	0	0	0
deff04aa9dd6019af21a0dabcb684322	5	0	0	0	0	0	0	3	0	0	0	0	0
51ad6deac03c49aa6b6a82dc416a2b35	2	0	62	0	4	0	0	0	0	0	0	4	0
bcea05de3a5d7ded02ad999be7cbb737	0	0	0	0	163	0	0	0	0	0	0	0	0
d761479d20ce8eda624e431a606424ab	0	0	0	0	0	0	0	0	0	0	0	20	2
54d203f00adb23c79ded95408fab4d7f	0	0	12	0	0	0	0	0	2	0	0	0	0
b08e8903ba9a390b546836d44f4b0c2c	2	0	7	0	0	0	0	0	0	0	0	0	0
ba21a4b7f37ed90a91a2a0ea676e2bb4	0	0	0	0	0	0	0	0	0	0	0	0	90
fabfaa1e1903d0d69dc2ddadede012d6	0	0	0	0	0	0	0	0	0	0	0	0	5
c1e8e8aa9775d4734034c216ea0694bd	6	0	0	0	0	0	0	3	0	0	0	0	0
923f7f8688aa473d0d340af16361a87b	0	0	0	0	0	71	0	0	0	0	0	0	0
1bcd07b69cb39dc4116ba9129b54ba2c	2	0	0	0	0	0	0	0	0	0	0	0	0
60540742201ee1c22114d8610a153c6c	4	2	15	4	0	0	4	0	0	75	11	0	0
d2965502ff733a19bf776b205a028fd4	0	0	2	0	2	0	0	0	0	0	0	0	0
805898ba9ce78c19ebba08ccf59e7037	0	0	0	0	0	1	0	0	0	0	0	3	0
2f888f386412d94793aa640b28a47859	0	0	0	0	0	0	0	0	17	0	0	0	0
c6ba4f86a1739615ac450b984345e43d	2	0	0	0	0	0	0	0	0	0	0	0	0
fbffc30f31e7ffea826fb9521b362916	0	0	0	0	0	2	0	0	0	0	0	0	0
02e17c2f857d13b41200f0db662d20eb	0	0	0	0	0	24	0	0	0	0	0	0	0
86403537265d71e6e17f5cac3b13bbcf	0	4	0	0	2	0	0	0	4	0	0	32	0
202e7f6d791f72f34dcddb2dccf1de81	9	0	0	0	0	0	0	0	0	0	0	0	1
d23413662aa170006aa64d2419f7e2a9	0	0	0	0	0	0	0	0	0	0	0	156	0
cadebe23ab2e5c43f372d4677bed114b	0	0	0	0	0	8	0	0	0	0	0	0	10
53f3b4d5e9c306ae72ba5fa9c4cf0b7c	0	0	0	3	0	0	0	0	0	0	0	0	0
7bdb629e27dd11d460c5ea3cd32fc6dd	0	1	21	0	0	0	0	0	0	0	0	0	0
